index,filename,gt_label,pred_label,correct,image_score,threshold,pixel_auroc,iou,dice
0,Fotos 01-12-2020_DJI_0181_suspensao_para_raio_23.jpg,normal,NORMAL,True,1194.15283203125,1910.3995361328125,,,
1,Fotos 01-12-2020_DJI_0323_suspensao_para_raio_19.jpg,normal,NORMAL,True,1075.40771484375,1910.3995361328125,,,
2,Fotos 01-12-2020_DJI_0498_suspensao_para_raio_14.jpg,normal,NORMAL,True,893.2254638671875,1910.3995361328125,,,
3,Fotos 02-12-2020_DJI_0151_suspensao_para_raio_50.jpg,normal,NORMAL,True,936.635986328125,1910.3995361328125,,,
4,Fotos 02-12-2020_DJI_0347_suspensao_para_raio_39.jpg,normal,NORMAL,True,1086.94580078125,1910.3995361328125,,,
5,Fotos 02-12-2020_DJI_0409_suspensao_para_raio_36.jpg,normal,NORMAL,True,1112.42431640625,1910.3995361328125,,,
6,Fotos 02-12-2020_DJI_0450_suspensao_para_raio_38.jpg,normal,NORMAL,True,1378.09423828125,1910.3995361328125,,,
7,Fotos 02-12-2020_DJI_0472_suspensao_para_raio_33.jpg,normal,NORMAL,True,1209.272705078125,1910.3995361328125,,,
8,Fotos 02-12-2020_DJI_0511_suspensao_para_raio_34.jpg,normal,NORMAL,True,1236.7965087890625,1910.3995361328125,,,
9,Fotos 03-12-2020_DJI_0066_suspensao_para_raio_70.jpg,normal,NORMAL,True,980.56884765625,1910.3995361328125,,,
10,Fotos 03-12-2020_DJI_0497_suspensao_para_raio_58.jpg,normal,NORMAL,True,1010.3074340820312,1910.3995361328125,,,
11,Fotos 04-12-2020_DJI_0749_suspensao_para_raio_86.jpg,normal,NORMAL,True,1442.78076171875,1910.3995361328125,,,
12,Fotos 04-12-2020_DJI_0936_suspensao_para_raio_78.jpg,normal,NORMAL,True,990.408203125,1910.3995361328125,,,
13,Fotos 04-12-2020_DJI_0964_suspensao_para_raio_81.jpg,normal,NORMAL,True,1080.323486328125,1910.3995361328125,,,
14,Fotos 04-12-2020_DJI_1000 (12)_suspensao_para_raio_77.jpg,normal,NORMAL,True,1174.287109375,1910.3995361328125,,,
15,Fotos 07-12-2020_DJI_0031_suspensao_para_raio_110.jpg,normal,NORMAL,True,986.334716796875,1910.3995361328125,,,
16,Fotos 07-12-2020_DJI_0072_suspensao_para_raio_108.jpg,normal,NORMAL,True,1211.133544921875,1910.3995361328125,,,
17,Fotos 07-12-2020_DJI_0128_suspensao_para_raio_104.jpg,normal,NORMAL,True,1130.924072265625,1910.3995361328125,,,
18,Fotos 08-12-2020_DJI_0440_suspensao_para_raio_127.jpg,normal,NORMAL,True,1558.3221435546875,1910.3995361328125,,,
19,Fotos 08-12-2020_DJI_0504_suspensao_para_raio_126.jpg,normal,NORMAL,True,1032.5592041015625,1910.3995361328125,,,
20,Fotos 08-12-2020_DJI_0586_suspensao_para_raio_122.jpg,normal,NORMAL,True,949.0702514648438,1910.3995361328125,,,
